,order_id,order_date,ship_date,ship_mode,customer_id
0,CA-2013-152156,2013-11-09,2013-11-12,Second Class,CG-12520
2,CA-2013-138688,2013-06-13,2013-06-17,Second Class,DV-13045
3,US-2012-108966,2012-10-11,2012-10-18,Standard Class,SO-20335
5,CA-2011-115812,2011-06-09,2011-06-14,Standard Class,BH-11710
12,CA-2014-114412,2014-04-16,2014-04-21,Standard Class,AA-10480
13,CA-2013-161389,2013-12-06,2013-12-11,Standard Class,IM-15070
14,US-2012-118983,2012-11-22,2012-11-26,Standard Class,HP-14815
16,CA-2011-105893,2011-11-11,2011-11-18,Standard Class,PK-19075
17,CA-2011-167164,2011-05-13,2011-05-15,Second Class,AG-10270
18,CA-2011-143336,2011-08-27,2011-09-01,Second Class,ZD-21925
21,CA-2013-137330,2013-12-10,2013-12-14,Standard Class,KB-16585
23,US-2014-156909,2014-07-17,2014-07-19,Second Class,SF-20065
24,CA-2012-106320,2012-09-25,2012-09-30,Standard Class,EB-13870
25,CA-2013-121755,2013-01-16,2013-01-20,Second Class,EH-13945
27,US-2012-150630,2012-09-17,2012-09-21,Standard Class,TB-21520
34,CA-2014-107727,2014-10-20,2014-10-24,Second Class,MA-17560
35,CA-2013-117590,2013-12-09,2013-12-11,First Class,GH-14485
37,CA-2012-117415,2012-12-27,2012-12-31,Standard Class,SN-20710
41,CA-2014-120999,2014-09-11,2014-09-16,Standard Class,LC-16930
42,CA-2013-101343,2013-07-18,2013-07-23,Standard Class,RA-19885
43,CA-2014-139619,2014-09-20,2014-09-24,Standard Class,ES-14080
44,CA-2013-118255,2013-03-12,2013-03-14,First Class,ON-18715
46,CA-2011-146703,2011-10-20,2011-10-25,Second Class,PO-18865
47,CA-2013-169194,2013-06-21,2013-06-26,Standard Class,LH-16900
49,CA-2012-115742,2012-04-18,2012-04-22,Standard Class,DP-13000
53,CA-2013-105816,2013-12-12,2013-12-18,Standard Class,JM-15265
55,CA-2013-111682,2013-06-18,2013-06-19,First Class,TB-21055
62,CA-2012-135545,2012-11-24,2012-11-30,Standard Class,KM-16720
66,US-2012-164175,2012-04-30,2012-05-05,Standard Class,PS-18970
67,CA-2011-106376,2011-12-05,2011-12-10,Standard Class,BS-11590
69,CA-2013-119823,2013-06-05,2013-06-07,First Class,KD-16270
70,CA-2013-106075,2013-09-19,2013-09-24,Standard Class,HM-14980
71,CA-2014-114440,2014-09-15,2014-09-18,Second Class,TB-21520
